thread,path,calls,total_s,avg_s,tpe_s
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::alg_simp/taichi::lang::irpass::replace_all_usages_with",8,9.00001e-06,1.125e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::loop_invariant_code_motion",2,2e-05,9.99999e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::simplify",5,0.000107,2.14e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::simplify/taichi::lang::irpass::replace_all_usages_with",4,4.99998e-06,1.24999e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::simplify/taichi::lang::irpass::type_check",4,4e-05,1e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::whole_kernel_cse",2,0.000533,0.0002665,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::whole_kernel_cse/taichi::lang::irpass::replace_all_usages_with",11,1.3e-05,1.18182e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization",2,0.000266,0.000133,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::ControlFlowGraph::store_to_load_forwarding",2,5.9e-05,2.95e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::ControlFlowGraph::store_to_load_forwarding/taichi::lang::ControlFlowGraph::reaching_definition_analysis",2,4.8e-05,2.4e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::ControlFlowGraph::dead_store_elimination",2,8.1e-05,4.05e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::ControlFlowGraph::dead_store_elimination/taichi::lang::ControlFlowGraph::live_variable_analysis",2,3.1e-05,1.55e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::cfg_optimization/taichi::lang::irpass::die",2,4.9e-05,2.45e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::die",1,3.8e-05,3.8e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::flag_access",1,4e-06,4e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_operations",1,7.2e-05,7.2e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_operations/taichi::lang::irpass::replace_all_usages_with",2,3.00002e-06,1.50001e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_operations/taichi::lang::irpass::type_check",2,3.2e-05,1.6e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::optimize_bit_struct_stores",1,5.3e-05,5.3e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::optimize_bit_struct_stores/taichi::lang::irpass::die",1,2.8e-05,2.8e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::scalarize",1,9.00001e-06,9.00001e-06,0
"17248","[Profiler thread 17248]/taichi::lang::TaskCodeGenLLVM::emit_to_module",1,0.000286,0.000286,0
"17248","[Profiler thread 17248]/taichi::lang::TaskCodeGenLLVM::emit_to_module/taichi::lang::TaichiLLVMContext::get_this_thread_runtime_module",24,1.1e-05,4.58333e-07,0
"17248","[Profiler thread 17248]/taichi::lang::TaichiLLVMContext::eliminate_unused_functions",1,4.6e-05,4.6e-05,0
